DAILYTIMEBRACKET,YEAR,VALUE
1,2020,0.000456621
1,2021,0.000456621
1,2022,0.000456621
1,2023,0.000456621
1,2024,0.000456621
1,2025,0.000456621
1,2026,0.000456621
1,2027,0.000456621
1,2028,0.000456621
1,2029,0.000456621
1,2030,0.000456621
1,2031,0.000456621
1,2032,0.000456621
1,2033,0.000456621
1,2034,0.000456621
1,2035,0.000456621
1,2036,0.000456621
1,2037,0.000456621
1,2038,0.000456621
1,2039,0.000456621
1,2040,0.000456621
1,2041,0.000456621
1,2042,0.000456621
1,2043,0.000456621
1,2044,0.000456621
1,2045,0.000456621
1,2046,0.000456621
1,2047,0.000456621
1,2048,0.000456621
1,2049,0.000456621
1,2050,0.000456621
2,2020,0.000456621
2,2021,0.000456621
2,2022,0.000456621
2,2023,0.000456621
2,2024,0.000456621
2,2025,0.000456621
2,2026,0.000456621
2,2027,0.000456621
2,2028,0.000456621
2,2029,0.000456621
2,2030,0.000456621
2,2031,0.000456621
2,2032,0.000456621
2,2033,0.000456621
2,2034,0.000456621
2,2035,0.000456621
2,2036,0.000456621
2,2037,0.000456621
2,2038,0.000456621
2,2039,0.000456621
2,2040,0.000456621
2,2041,0.000456621
2,2042,0.000456621
2,2043,0.000456621
2,2044,0.000456621
2,2045,0.000456621
2,2046,0.000456621
2,2047,0.000456621
2,2048,0.000456621
2,2049,0.000456621
2,2050,0.000456621
3,2020,0.000456621
3,2021,0.000456621
3,2022,0.000456621
3,2023,0.000456621
3,2024,0.000456621
3,2025,0.000456621
3,2026,0.000456621
3,2027,0.000456621
3,2028,0.000456621
3,2029,0.000456621
3,2030,0.000456621
3,2031,0.000456621
3,2032,0.000456621
3,2033,0.000456621
3,2034,0.000456621
3,2035,0.000456621
3,2036,0.000456621
3,2037,0.000456621
3,2038,0.000456621
3,2039,0.000456621
3,2040,0.000456621
3,2041,0.000456621
3,2042,0.000456621
3,2043,0.000456621
3,2044,0.000456621
3,2045,0.000456621
3,2046,0.000456621
3,2047,0.000456621
3,2048,0.000456621
3,2049,0.000456621
3,2050,0.000456621
4,2020,0.000456621
4,2021,0.000456621
4,2022,0.000456621
4,2023,0.000456621
4,2024,0.000456621
4,2025,0.000456621
4,2026,0.000456621
4,2027,0.000456621
4,2028,0.000456621
4,2029,0.000456621
4,2030,0.000456621
4,2031,0.000456621
4,2032,0.000456621
4,2033,0.000456621
4,2034,0.000456621
4,2035,0.000456621
4,2036,0.000456621
4,2037,0.000456621
4,2038,0.000456621
4,2039,0.000456621
4,2040,0.000456621
4,2041,0.000456621
4,2042,0.000456621
4,2043,0.000456621
4,2044,0.000456621
4,2045,0.000456621
4,2046,0.000456621
4,2047,0.000456621
4,2048,0.000456621
4,2049,0.000456621
4,2050,0.000456621
5,2020,0.000456621
5,2021,0.000456621
5,2022,0.000456621
5,2023,0.000456621
5,2024,0.000456621
5,2025,0.000456621
5,2026,0.000456621
5,2027,0.000456621
5,2028,0.000456621
5,2029,0.000456621
5,2030,0.000456621
5,2031,0.000456621
5,2032,0.000456621
5,2033,0.000456621
5,2034,0.000456621
5,2035,0.000456621
5,2036,0.000456621
5,2037,0.000456621
5,2038,0.000456621
5,2039,0.000456621
5,2040,0.000456621
5,2041,0.000456621
5,2042,0.000456621
5,2043,0.000456621
5,2044,0.000456621
5,2045,0.000456621
5,2046,0.000456621
5,2047,0.000456621
5,2048,0.000456621
5,2049,0.000456621
5,2050,0.000456621
6,2020,0.000456621
6,2021,0.000456621
6,2022,0.000456621
6,2023,0.000456621
6,2024,0.000456621
6,2025,0.000456621
6,2026,0.000456621
6,2027,0.000456621
6,2028,0.000456621
6,2029,0.000456621
6,2030,0.000456621
6,2031,0.000456621
6,2032,0.000456621
6,2033,0.000456621
6,2034,0.000456621
6,2035,0.000456621
6,2036,0.000456621
6,2037,0.000456621
6,2038,0.000456621
6,2039,0.000456621
6,2040,0.000456621
6,2041,0.000456621
6,2042,0.000456621
6,2043,0.000456621
6,2044,0.000456621
6,2045,0.000456621
6,2046,0.000456621
6,2047,0.000456621
6,2048,0.000456621
6,2049,0.000456621
6,2050,0.000456621
